#
# $Id$
#
# I realize one of the biggest problems with sending pages directly is the 
# lack of vendor-advertised paging central phone numbers.  So, I figure we
# should try to collect a list of them.  Should make things a lot easier.
#
# You can find this online at http://sendpage.org/pc.php (searchable)
# or as http://sendpage.org/PagingCentrals.txt in raw text.
#
# To make changes, corrections, etc, please send me some email at 
# pc-updates@outflux.net
# 

+-----+--------------------------+--------------------------+-------------------------+--------------------+-----------------+---------------+
| id  | vendor                   | region                   | notes                   | tap_access         | settings        | quirks        |
| 315 | PageNet                  | NYC Manhattan, NY        | untested                | 718-355-2820       | 7e1             |               |
| 316 | PageNet                  | Nashville, TN            | untested                | 615-303-9998       | 7e1             |               |
| 317 | PageNet                  | Nashville, TN            | untested                | 615-303-9999       | 7e1             |               |
| 318 | PageNet                  | Nationwide 800           | untested                | 800-720-8398       | 7e1             |               |
| 319 | PageNet                  | Nationwide 888           | untested                | 888-720-8398       | 7e1             |               |
| 320 | PageNet                  | Nationwide SP            | untested                | 888-589-8600       | 7e1             |               |
| 321 | PageNet                  | Green Bay, WI            | untested                | 920-440-1116       | 7e1             |               |
| 322 | PageNet                  | New Hampshire, NH        | untested                | 603-497-8467       | 7e1             |               |
| 323 | PageNet                  | New Jersey               | untested                | 800-437-0528       | 7e1             |               |
| 324 | PageNet                  | New Jersey               | untested                | 908-686-9053       | 7e1             |               |
| 325 | PageNet                  | New Jersey, NJ           | untested                | 201-878-7243       | 7e1             |               |
| 326 | PageNet                  | New Jersey, NJ           | untested                | 908-983-7243       | 7e1             |               |
| 327 | PageNet                  | New Orleans, LA          | untested                | 504-835-6124       | 7e1             |               |
| 328 | PageNet                  | New Port Richey, FL      | untested                | 813-843-5299       | 7e1             |               |
| 329 | PageNet                  | New York                 | untested                | 917-252-2000       | 7e1             |               |
| 330 | PageNet                  | Newburgh, NY             | untested                | 914-438-0000       | 7e1             |               |
| 331 | PageNet                  | Santa Clarita Valley, CA | untested                | 805-287-3000       | 7e1             |               |
| 332 | PageNet                  | Norfolk, VA              | untested                | 757-366-1044       | 7e1             |               |
| 333 | PageNet                  | Norfolk, VA              | untested                | 804-366-5349       | 7e1             |               |
| 334 | PageNet                  | North Carolina           | untested                | 800-685-4399       | 7e1             |               |
| 335 | PageNet                  | Northern Virginia, VA    | untested                | 703-442-7606       | 7e1             |               |
| 336 | PageNet                  | Norwalk, CA              | untested                | 562-707-1000       | 7e1             |               |
| 337 | PageNet                  | Oakland, CA              | untested                | 510-319-2436       | 7e1             |               |
| 338 | PageNet                  | Oakland, CA              | untested                | 510-638-3526       | 7e1             |               |
| 339 | PageNet                  | Oklahoma, OK             | untested                | 405-980-7243       | 7e1             |               |
| 340 | PageNet                  | Ontario/Claremont, CA    | untested                | 909-448-2100       | 7e1             |               |
| 341 | PageNet                  | Orlando, FL              | untested                | 407-974-7099       | 7e1             |               |
| 342 | PageNet                  | Orlando, FL 1            | untested                | 407-839-0712       | 7e1             |               |
| 343 | PageNet                  | Palm Springs, CA         | untested                | 760-833-1234       | 7e1             |               |
| 344 | PageNet                  | Palmdale/Lancaster, CA   | untested                | 805-540-1005       | 7e1             |               |
| 345 | PageNet                  | Philadelphia, PA         | untested                | 610-834-1572       | 7e1             |               |
| 346 | PageNet                  | Philadelphia, PA         | untested                | 800-437-0529       | 7e1             |               |
| 347 | PageNet                  | Phoenix, AZ              | untested                | 602-591-6000       | 7e1             |               |
| 348 | PageNet                  | Pittsburgh, PA           | untested                | 412-788-2878       | 7e1             |               |
| 349 | PageNet                  | Portland, OR             | untested                | 503-232-3787       | 7e1             |               |
| 350 | PageNet                  | Providence, RI           | untested                | 401-647-5457       | 7e1             |               |
| 351 | PageNet                  | Raleigh, NC              | untested                | 919-505-0000       | 7e1             |               |
| 352 | PageNet                  | Reno, NV                 | untested                | 702-329-4506       | 7e1             |               |
| 353 | PageNet                  | Richmond, VA             | untested                | 804-278-7844       | 7e1             |               |
| 354 | PageNet                  | Rochester, NY            | untested                | 716-306-0000       | 7e1             |               |
| 355 | PageNet                  | Sacramento, CA           | untested                | 209-473-7506       | 7e1             |               |
| 356 | PageNet                  | Sacramento, CA           | untested                | 916-981-2000       | 7e1             |               |
| 357 | PageNet                  | Sacramento, CA 1         | untested                | 916-929-7686       | 7e1             |               |
| 358 | PageNet                  | Saddleback, CA           | untested                | 714-227-0014       | 7e1             |               |
| 359 | PageNet                  | Salem, OR                | untested                | 503-391-4439       | 7e1             |               |
| 360 | PageNet                  | Salt Lake City, UT       | untested                | 801-919-0008       | 7e1             |               |
| 361 | PageNet                  | San Antonio, TX          | untested                | 210-342-8831       | 7e1             |               |
| 362 | PageNet                  | San Carlos, CA           | untested                | 415-572-1411       | 7e1             |               |
| 363 | PageNet                  | San Diego, CA            | untested                | 619-232-8425       | 7e1             |               |
| 364 | PageNet                  | San Diego, CA            | untested                | 619-918-8808       | 7e1             |               |
| 365 | PageNet                  | San Fernando, CA         | untested                | 818-328-0020       | 7e1             |               |
| 366 | PageNet                  | San Francisco, CA        | untested                | 415-207-0057       | 7e1             |               |
| 367 | PageNet                  | San Gabriel Valley, CA   | untested                | 818-292-3012       | 7e1             |               |
| 368 | PageNet                  | San Jose, CA             | untested                | 408-428-9729       | 7e1             |               |
| 369 | PageNet                  | San Jose, CA             | untested                | 408-798-7201       | 7e1             |               |
| 370 | PageNet                  | San Luis Obispo, CA      | untested                | 805-782-2416       | 7e1             |               |
| 371 | PageNet                  | San Mateo, CA            | untested                | 650-371-0040       | 7e1             |               |
| 372 | PageNet                  | Santa Barbara, CA        | untested                | 805-887-1684       | 7e1             |               |
| 373 | PageNet                  | Santa Maria, CA          | untested                | 805-349-3025       | 7e1             |               |
| 374 | PageNet                  | Santa Monica, CA         | untested                | 310-239-5116       | 7e1             |               |
| 375 | PageNet                  | Santa Rosa, CA           | untested                | 707-316-0002       | 7e1             |               |
| 376 | PageNet                  | Sarasota, FL             | untested                | 941-569-7299       | 7e1             |               |
| 377 | PageNet                  | Seattle                  | untested                | 800-795-4563       | 7e1             |               |
| 378 | PageNet                  | Seattle, WA              | untested                | 206-747-9674       | 7e1             |               |
| 379 | PageNet                  | Seattle, WA              | untested                | 425-747-1401       | 7e1             |               |
| 380 | PageNet                  | South New Jersey, NJ     | untested                | 800-437-0529       | 7e1             |               |
| 381 | PageNet                  | Spokane, WA              | untested                | 509-490-0000       | 7e1             |               |
| 382 | PageNet                  | Springfield, MA          | untested                | 413-290-0101       | 7e1             |               |
| 383 | PageNet                  | St. Augustine, FL        | untested                | 904-823-1600       | 7e1             |               |
| 384 | PageNet                  | St. Louis, MO            | untested                | 314-984-8710       | 7e1             |               |
| 385 | PageNet                  | Stockton, CA             | untested                | 209-889-4100       | 7e1             |               |
| 386 | PageNet                  | Syracuse, NY             | untested                | 315-449-2502       | 7e1             |               |
| 387 | PageNet                  | Tacoma, WA               | untested                | 253-572-4019       | 7e1             |               |
| 388 | PageNet                  | Tallahassee, FL          | untested                | 850-224-4492       | 7e1             |               |
| 389 | PageNet                  | Tampa, FL                | untested                | 813-219-7299       | 7e1             |               |
| 390 | PageNet                  | Temecula, CA             | untested                | 909-507-1234       | 7e1             |               |
| 391 | PageNet                  | Simi Valley, CA          | untested                | 805-494-5818       | 7e1             |               |
| 392 | PageNet                  | Tucson, AZ               | untested                | 520-930-7243       | 7e1             |               |
| 393 | PageNet                  | Ventura/Oxnard, CA       | untested                | 805-671-0143       | 7e1             |               |
| 394 | PageNet                  | Victorville, CA          | untested                | 619-955-9099       | 7e1             |               |
| 395 | PageNet                  | Visalia, CA              | untested                | 209-741-5506       | 7e1             |               |
| 396 | PageNet                  | Washington, DC           | untested                | 703-442-7606       | 7e1             |               |
| 397 | PageNet                  | Washington, DC 1         | untested                | 301-474-4657       | 7e1             |               |
| 398 | PageNet                  | West Palm Beach, FL      | untested                | 561-551-7243       | 7e1             |               |
| 399 | PageNet                  | Westchester, NY          | untested                | 914-284-0000       | 7e1             |               |
| 400 | PageNet                  | Westchester, NY          | untested                | 914-347-3136       | 7e1             |               |
| 401 | PageNet                  | Wisconsin                | untested                | 800-471-3408       | 7e1             |               |
| 402 | PageNet                  | Youngstown/Warren, OH    | untested                | 330-380-7243       | 7e1             |               |
| 403 | Pagers Plus              |                          | untested                | 800-257-2307       | 7e1             |               |
| 404 | Paging Plus              |                          | untested                | 800-848-6122       | 7e1             |               |
| 405 | PageUSA                  | California               | untested                | 925-803-1180       | 7e1             |               |
| 406 | Paging, Inc.             |                          | untested                | 800-888-8757       | 7e1             |               |
| 407 | Phoenix Paging           |                          | untested                | 602-929-0500       | 7e1             |               |
| 408 | Porta-Phone              |                          | untested                | 800-443-8931       | 7e1             |               |
| 409 | PrimeCo Messaging        |                          | untested                | 800-659-7514       | 7e1             |               |
| 410 | ProNet                   | Tallahassee, FL          | untested                | 800-723-9036       | 7e1             |               |
| 411 | ProNet                   | Texas                    | untested                | 800-374-3801       | 7e1             |               |
| 412 | ProNet                   | WI                       | untested                | 800-366-1936       | 7e1             |               |
| 413 | RAMPage                  |                          | untested                | 800-718-1448       | 7e1             |               |
| 414 | Radiofone                | New Orleans, LA          | untested                | 800-431-2731       | 7e1             |               |
| 415 | Range                    | MI Upper Peninsula       | untested                | 906-222-1000       | 7e1             |               |
| 416 | Seiko Message watch      |                          | untested                | 213-613-0224       | 7e1             |               |
| 417 | Seiko Message watch      | Portland                 | untested                | 503-243-3019       | 7e1             |               |
| 418 | Seiko Message watch      | Seattle                  | untested                | 360-621-0830       | 7e1             |               |
| 419 | Shaw Paging              | Montreal, Canada         | untested                | 514-336-2290       | 7e1             |               |
| 420 | SkyTel                   |                          | untested                | 707-759-6366       | 7e1             |               |
| 421 | SkyTel                   |                          | untested                | 800-258-9880       | 7e1             |               |
| 422 | SkyTel ASCII             |                          | untested                | 800-759-9673       | 7e1             |               |
| 423 | SkyTel                   |                          | untested                | 800-759-6366       | 7e1             |               |
| 424 | SkyTel 2-Way             |                          | untested                | 800-679-2778       | 7e1             |               |
| 425 | SkyTel                   | Salt Lake City, UT       | untested                | 801-488-6473       | 7e1             |               |
| 426 | Southwestern Bell        |                          | untested                | 800-469-5351       | 7e1             |               |
| 427 | Sprint PCS               |                          | untested                | 888-656-1727       | 7e1             |               |
| 428 | Sprint Paging            |                          | untested                | 800-785-5629       | 7e1             |               |
| 429 | Sprint Spectrum          |                          | untested                | 800-272-6505       | 7e1             |               |
| 430 | SuperCom                 | MI Upper Peninsula       | untested                | 906-777-8880       | 7e1             |               |
| 431 | TNI Paging               |                          | untested                | 800-666-3282       | 7e1             |               |
| 432 | TSR Wireless             | Long Island, NY          | untested                | 516-426-4110       | 7e1             |               |
| 433 | TSR Wireless             | Northern VA              | untested                | 703-331-2808       | 7e1             |               |
| 434 | TSR Wireless             | Phoenix, AZ              | untested                | 602-216-1000       | 7e1             |               |
| 435 | Telus                    | Calgary, AB              | untested                | 403-247-2635       | 7e1             |               |
| 436 | Telus                    | Edmonton, AB             | untested                | 780-916-8118       | 7e1             |               |
| 437 | Telus                    | Toll Free                | untested                | 888-442-0454       | 7e1             |               |
| 438 | Touch Tel Paging         |                          | untested                | 510-748-2097       | 7e1             |               |
| 439 | Tri-State                | New England              | untested                | 617-668-0003       | 7e1             |               |
| 440 | US West                  |                          | untested                | 520-327-8944       | 7e1             |               |
| 441 | US West                  |                          | untested                | 888-823-3434       | 7e1             |               |
| 442 | US West AdvancedPCS      |                          | untested                | 888-823-8234       | 7e1             |               |
| 443 | USA Mobile               |                          | untested                | 513-563-5067       | 7e1             |               |
| 444 | USA Mobile               |                          | untested                | 800-589-9776       | 7e1             |               |
| 445 | USA Mobile               |                          | untested                | 800-840-0075       | 7e1             |               |
| 446 | USA Mobile               | Akron, Ohio              | untested                | 800-688-9259       | 7e1             |               |
| 447 | USA Mobile               | Alabama                  | untested                | 800-239-7749       | 7e1             |               |
| 448 | USA Mobile               | East Kentucky            | untested                | 800-944-1233       | 7e1             |               |
| 449 | USA Mobile               | Findley, Ohio            | untested                | 800-686-1090       | 7e1             |               |
| 450 | USA Mobile               | Fort Wayne, Indiana      | untested                | 800-491-2090       | 7e1             |               |
| 451 | USA Mobile               | Ohio                     | untested                | 800-686-9900       | 7e1             |               |
| 452 | Voice Stream             |                          | untested                | 800-937-8941       | 7e1             |               |
| 453 | VPS Paging               |                          | untested                | 605-338-7794       | 7e1             |               |
| 454 | Weblink Wireles/PageMart |                          | 2 way,untested          | 800-557-8081       | 7e1             |               |
| 455 | Westlink                 | Minneapolis / St. Paul   | untested                | 800-793-6280       | 7e1             |               |
| 456 | Westlink Paging          |                          | untested                | 602-231-9447       | 7e1             |               |
| 457 | Westlink Paging          |                          | untested                | 800-231-7886       | 7e1             |               |
| 458 | Westlink Paging          |                          | untested                | 801-483-1081       | 7e1             |               |
| 459 | Bell South Wireless RIM  | National                 | not fully tested        | 800-868-2835       | 7e1             |               |
| 460 | Cantel                   | Canada                   | untested                | 604-685-3612       | 7e1             |               |
| 461 | USA Mobile               | Illinois                 | untested                | 800-666-0038       | 7e1             |               |
| 462 | Breaking News Network    |                          | untested                | 201-947-9049       | 7e1             |               |
| 463 | PageNet                  | northeast US             | untested                | 917-973-7000       | 7e1             |               |
+-----+--------------------------+--------------------------+-------------------------+--------------------+-----------------+---------------+

